,model_config.solver_config.margin,training_config.optimizer,training_config.loss_config.name,training_config.optimizer_config.lr,training_config.half_lr_every,model_config.solver_config.lambda_val,model_config.cost_generator_config.__import__,eval_idf1,job_restarts,eval_idf1__std
65,0.22,RMSProp,HOTA_dense,0.02,3000.0,9.0,config/michal/svm_lifted.yaml,0.3872986224608919,1,
22,0.15,SGD,HOTA_dense,0.03,7000.0,28.0,config/michal/svm_lifted.yaml,0.3872052299789867,1,
73,0.25,SGD,HOTA_dense,0.04,2000.0,52.0,config/michal/svm_lifted.yaml,0.38533738034088255,1,
0,0.1,Adam,HOTA_dense,0.08,9000.0,10.0,config/michal/svm_lifted.yaml,0.3837600448514296,1,
24,0.16,Adam,MetaIOU,0.0002,7000.0,20.0,config/michal/svm_lifted.yaml,0.38331854480922806,1,
50,0.2,Adam,HOTA_dense,0.0009,8000.0,10.0,config/michal/svm_lifted.yaml,0.34950730864428153,1,
21,0.15,RMSProp,MetaIOU,0.3,5500.0,60.0,config/michal/svm_lifted.yaml,0.3462993229045062,1,
19,0.15,Adam,HOTA_dense,0.06,4000.0,30.0,config/michal/svm_lifted.yaml,0.27953675165779396,1,
84,0.31,RMSProp,MetaIOU,0.02,4000.0,30.0,config/michal/graph_features.yaml,0.2321704518848045,1,
67,0.23,RMSProp,HOTA_dense,0.02,3100.0,40.0,config/michal/graph_features.yaml,0.2070511323838431,1,
52,0.2,Adam,MetaIOU,0.04,5000.0,40.0,config/michal/graph_features.yaml,0.20494104435710275,1,
75,0.26,Adam,HOTA_dense,0.06,3000.0,30.0,config/michal/graph_features.yaml,0.19482039994380182,1,
29,0.16,SGD,HOTA_dense,0.0001,4000.0,17.0,config/michal/svm_lifted.yaml,0.18515749135433218,1,
70,0.24,RMSProp,MetaIOU,0.01,6000.0,80.0,config/michal/graph_features.yaml,0.18411957029425502,1,
80,0.28,Adam,HOTA_dense,0.02,10000.0,10.0,config/michal/graph_features.yaml,0.1814856499718627,1,
76,0.26,SGD,HOTA_dense,0.0002,10000.0,70.0,config/michal/graph_features.yaml,0.15187035912763275,1,
56,0.2,RMSProp,MetaIOU,0.03,5500.0,12.0,config/michal/svm_lifted.yaml,0.065439672801636,1,
57,0.2,RMSProp,MetaIOU,0.1,7000.0,10.0,config/michal/graph_features.yaml,0.05434884814292431,1,
54,0.2,RMSProp,HOTA_dense,0.3,4300.0,70.0,config/michal/graph_features.yaml,0.015701304320949495,1,
11,0.13,RMSProp,MetaIOU,0.1,6000.0,8.0,config/michal/graph_features.yaml,0.01551365327615564,1,
8,0.12,Adam,HOTA_dense,0.1,9000.0,40.0,config/michal/graph_features.yaml,0.015343723571342274,1,
3,0.1,RMSProp,MetaIOU,0.3,8000.0,30.0,config/michal/graph_features.yaml,0.015241320914479255,1,
